"script_or_sound","current_recording_location_and_filename","new_recording_location_and_filename","recording_type","letter","recording_notes","lookup_key","recording_id","current_duration_seconds","current_recording_url"
"The cat is blank now.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\129ff7d4a0a4874f.wav","","sentence with blank","","Say the word blank aloud.","the cat is blank now","129ff7d4a0a4874f","1.347","https://kpopboom.party/little-patterns/assets/voice/129ff7d4a0a4874f.wav"
"The CAT is dry.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\354a987ac212b525.wav","","complete sentence","","","the cat is dry","354a987ac212b525","1.105","https://kpopboom.party/little-patterns/assets/voice/354a987ac212b525.wav"
"The dog can blank.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\265fd8540a581790.wav","","sentence with blank","","Say the word blank aloud.","the dog can blank","265fd8540a581790","1.046","https://kpopboom.party/little-patterns/assets/voice/265fd8540a581790.wav"
"The dog can JUMP.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\2979e9ef8cf5d55a.wav","","complete sentence","","","the dog can jump","2979e9ef8cf5d55a","1.046","https://kpopboom.party/little-patterns/assets/voice/2979e9ef8cf5d55a.wav"
"The DOG can run.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\299f4a270d4aa1c1.wav","","complete sentence","","","the dog can run","299f4a270d4aa1c1","1.101","https://kpopboom.party/little-patterns/assets/voice/299f4a270d4aa1c1.wav"
"The DOG is wet.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\91458c0859da1f73.wav","","complete sentence","","","the dog is wet","91458c0859da1f73","1.043","https://kpopboom.party/little-patterns/assets/voice/91458c0859da1f73.wav"
"The FISH can swim.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\1023a92b7ee7138c.wav","","complete sentence","","","the fish can swim","1023a92b7ee7138c","1.049","https://kpopboom.party/little-patterns/assets/voice/1023a92b7ee7138c.wav"
"The fish is blank.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\ccdad5e75baa8a84.wav","","sentence with blank","","Say the word blank aloud.","the fish is blank","ccdad5e75baa8a84","1.015","https://kpopboom.party/little-patterns/assets/voice/ccdad5e75baa8a84.wav"
"The fish is WET.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\684ee3b431243b36.wav","","complete sentence","","","the fish is wet","684ee3b431243b36","1.074","https://kpopboom.party/little-patterns/assets/voice/684ee3b431243b36.wav"
"The little blank is fast.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\3e7a77cc6b8486f4.wav","","sentence with blank","","Say the word blank aloud.","the little blank is fast","3e7a77cc6b8486f4","1.482","https://kpopboom.party/little-patterns/assets/voice/3e7a77cc6b8486f4.wav"
"The little BUS is fast.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\d4c8bc9e7701c11a.wav","","complete sentence","","","the little bus is fast","d4c8bc9e7701c11a","1.459","https://kpopboom.party/little-patterns/assets/voice/d4c8bc9e7701c11a.wav"
"The MOON is big.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\85f92e09b11b213c.wav","","complete sentence","","","the moon is big","85f92e09b11b213c","0.93","https://kpopboom.party/little-patterns/assets/voice/85f92e09b11b213c.wav"
"The MOON is out.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\028f7e44a18871bf.wav","","complete sentence","","","the moon is out","028f7e44a18871bf","0.922","https://kpopboom.party/little-patterns/assets/voice/028f7e44a18871bf.wav"
"The pattern fits.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\ae257bdf0b20f846.wav","","prompt or feedback","","","the pattern fits","ae257bdf0b20f846","0.918","https://kpopboom.party/little-patterns/assets/voice/ae257bdf0b20f846.wav"
"The sun is blank.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\b53b586b4d12870c.wav","","sentence with blank","","Say the word blank aloud.","the sun is blank","b53b586b4d12870c","1.102","https://kpopboom.party/little-patterns/assets/voice/b53b586b4d12870c.wav"
"The sun is HOT.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\a9713ed03c06a734.wav","","complete sentence","","","the sun is hot","a9713ed03c06a734","1.086","https://kpopboom.party/little-patterns/assets/voice/a9713ed03c06a734.wav"
"The tall blank is dry.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\2f943b63fbadd164.wav","","sentence with blank","","Say the word blank aloud.","the tall blank is dry","2f943b63fbadd164","1.315","https://kpopboom.party/little-patterns/assets/voice/2f943b63fbadd164.wav"
"The tall TREE is dry.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\55b4c94f5a29f819.wav","","complete sentence","","","the tall tree is dry","55b4c94f5a29f819","1.378","https://kpopboom.party/little-patterns/assets/voice/55b4c94f5a29f819.wav"
"The tree is blank.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\eccc960503b5fff9.wav","","sentence with blank","","Say the word blank aloud.","the tree is blank","eccc960503b5fff9","1.095","https://kpopboom.party/little-patterns/assets/voice/eccc960503b5fff9.wav"
"The tree is TALL.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\c44adc9f2857ee0b.wav","","complete sentence","","","the tree is tall","c44adc9f2857ee0b","0.918","https://kpopboom.party/little-patterns/assets/voice/c44adc9f2857ee0b.wav"
"THIRTEEN","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\9ecc81f0a4b6dfb0.wav","","number","","","thirteen","9ecc81f0a4b6dfb0","0.67","https://kpopboom.party/little-patterns/assets/voice/9ecc81f0a4b6dfb0.wav"
"THIRTY","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\aca5fb59db69e5df.wav","","number","","","thirty","aca5fb59db69e5df","0.506","https://kpopboom.party/little-patterns/assets/voice/aca5fb59db69e5df.wav"
"THREE","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\8b5b9db0c13db242.wav","","number","","","three","8b5b9db0c13db242","0.408","https://kpopboom.party/little-patterns/assets/voice/8b5b9db0c13db242.wav"
"TREE","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\dc9c5edb8b2d479e.wav","","word","","","tree","dc9c5edb8b2d479e","0.447","https://kpopboom.party/little-patterns/assets/voice/dc9c5edb8b2d479e.wav"
"triangle","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\0a3f13c673af2389.wav","","word or reusable phrase","","","triangle","0a3f13c673af2389","0.65","https://kpopboom.party/little-patterns/assets/voice/0a3f13c673af2389.wav"
"TWELVE","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\d1a749ad879b6c07.wav","","number","","","twelve","d1a749ad879b6c07","0.583","https://kpopboom.party/little-patterns/assets/voice/d1a749ad879b6c07.wav"
"TWENTY","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\7c2c4df740f720b0.wav","","number","","","twenty","7c2c4df740f720b0","0.57","https://kpopboom.party/little-patterns/assets/voice/7c2c4df740f720b0.wav"
"TWO","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\3fc4ccfe745870e2.wav","","number","","","two","3fc4ccfe745870e2","0.383","https://kpopboom.party/little-patterns/assets/voice/3fc4ccfe745870e2.wav"
"Well done!","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\894b6c18383b7c19.wav","","feelings","","","well done","894b6c18383b7c19","0.76","https://kpopboom.party/little-patterns/assets/voice/894b6c18383b7c19.wav"
"WET","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\534c51e17770c9b7.wav","","word","","","wet","534c51e17770c9b7","0.525","https://kpopboom.party/little-patterns/assets/voice/534c51e17770c9b7.wav"
"Whoops! Try again.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\15ec5b852f9542e7.wav","","prompt or feedback","","","whoops! try again","15ec5b852f9542e7","1.426","https://kpopboom.party/little-patterns/assets/voice/15ec5b852f9542e7.wav"
"Worried","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\13d9ead0ef6e1b24.wav","","feelings","","","worried","13d9ead0ef6e1b24","0.671","https://kpopboom.party/little-patterns/assets/voice/13d9ead0ef6e1b24.wav"
"Yes!","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\8a798890fe938171.wav","","prompt or feedback","","","yes","8a798890fe938171","0.518","https://kpopboom.party/little-patterns/assets/voice/8a798890fe938171.wav"
"You chose angry.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\5d4a3e0b9ca4f20a.wav","","feelings","","Retained library clip; included even though the current Me screen no longer uses this acknowledgement.","you chose angry","5d4a3e0b9ca4f20a","1.109","https://kpopboom.party/little-patterns/assets/voice/5d4a3e0b9ca4f20a.wav"
"You chose calm.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\47957de6f524f99c.wav","","feelings","","Retained library clip; included even though the current Me screen no longer uses this acknowledgement.","you chose calm","47957de6f524f99c","0.912","https://kpopboom.party/little-patterns/assets/voice/47957de6f524f99c.wav"
"You chose disappointed.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\32ca59055fe1e369.wav","","feelings","","Retained library clip; included even though the current Me screen no longer uses this acknowledgement.","you chose disappointed","32ca59055fe1e369","1.44","https://kpopboom.party/little-patterns/assets/voice/32ca59055fe1e369.wav"
"You chose excited.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\469061f63dfa9fae.wav","","feelings","","Retained library clip; included even though the current Me screen no longer uses this acknowledgement.","you chose excited","469061f63dfa9fae","1.09","https://kpopboom.party/little-patterns/assets/voice/469061f63dfa9fae.wav"
"You chose frustrated.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\def28531a89d4a56.wav","","feelings","","Retained library clip; included even though the current Me screen no longer uses this acknowledgement.","you chose frustrated","def28531a89d4a56","1.309","https://kpopboom.party/little-patterns/assets/voice/def28531a89d4a56.wav"
"You chose happy.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\f47edc82713d7c41.wav","","feelings","","Retained library clip; included even though the current Me screen no longer uses this acknowledgement.","you chose happy","f47edc82713d7c41","0.956","https://kpopboom.party/little-patterns/assets/voice/f47edc82713d7c41.wav"
"You chose not sure.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\f30531725ee0beb3.wav","","feelings","","Retained library clip; included even though the current Me screen no longer uses this acknowledgement.","you chose not sure","f30531725ee0beb3","1.158","https://kpopboom.party/little-patterns/assets/voice/f30531725ee0beb3.wav"
"You chose proud.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\427c6ffb4f46c836.wav","","feelings","","Retained library clip; included even though the current Me screen no longer uses this acknowledgement.","you chose proud","427c6ffb4f46c836","1.038","https://kpopboom.party/little-patterns/assets/voice/427c6ffb4f46c836.wav"
"You chose sad.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\3e7126d4981d99c2.wav","","feelings","","Retained library clip; included even though the current Me screen no longer uses this acknowledgement.","you chose sad","3e7126d4981d99c2","1.018","https://kpopboom.party/little-patterns/assets/voice/3e7126d4981d99c2.wav"
"You chose something else.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\52c33ab7c176d7bc.wav","","feelings","","Retained library clip; included even though the current Me screen no longer uses this acknowledgement.","you chose something else","52c33ab7c176d7bc","1.287","https://kpopboom.party/little-patterns/assets/voice/52c33ab7c176d7bc.wav"
"You chose surprised.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\517df688dd8cf489.wav","","feelings","","Retained library clip; included even though the current Me screen no longer uses this acknowledgement.","you chose surprised","517df688dd8cf489","1.218","https://kpopboom.party/little-patterns/assets/voice/517df688dd8cf489.wav"
"You chose worried.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\3799faa92202e86d.wav","","feelings","","Retained library clip; included even though the current Me screen no longer uses this acknowledgement.","you chose worried","3799faa92202e86d","1.111","https://kpopboom.party/little-patterns/assets/voice/3799faa92202e86d.wav"
"You found it.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\d456801d10208a77.wav","","prompt or feedback","","","you found it","d456801d10208a77","0.743","https://kpopboom.party/little-patterns/assets/voice/d456801d10208a77.wav"
"ZERO","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\f9194e73f9e9459e.wav","","number","","","zero","f9194e73f9e9459e","0.578","https://kpopboom.party/little-patterns/assets/voice/f9194e73f9e9459e.wav"
